API,Scenario,Count,FPS,AvgFrameTime_ms,InitTime_ms,Error
webgl,A,1,14056.34,0.07,17.20,
webgl,B,100,11796.69,0.08,3.00,
webgl,B,500,6653.33,0.15,1.70,
webgl,B,1000,4887.37,0.20,2.00,
webgl,B,5000,841.34,1.18,2.60,
webgl,B,10000,609.88,1.63,3.30,
webgl,C,10000,5940.48,0.17,5.20,
webgl,C,50000,1645.24,0.60,5.60,
webgl,C,100000,995.41,1.00,7.00,
webgl,C,200000,505.73,1.97,10.50,
webgl,D,100,11213.48,0.09,4.30,
webgl,D,256,14851.19,0.07,2.70,
webgl,D,512,10309.92,0.10,2.10,
webgl,D,1024,14763.31,0.07,2.00,
webgpu,A,1,6092.80,0.16,2153.40,
webgpu,B,100,6004.81,0.17,22.90,
webgpu,B,500,4369.53,0.23,18.80,
webgpu,B,1000,3166.24,0.31,7.50,
webgpu,B,5000,1052.08,0.95,7.40,
webgpu,B,10000,603.82,1.65,5.30,
webgpu,C,10000,5954.65,0.17,4.60,
webgpu,C,50000,3823.75,0.26,51.90,
webgpu,C,100000,6137.76,0.16,110.70,
webgpu,C,200000,3192.58,0.31,225.40,
webgpu,D,100,7515.06,0.13,435.90,
webgpu,D,256,6901.80,0.14,45.40,
webgpu,D,512,6863.82,0.15,39.10,
webgpu,D,1024,6743.24,0.15,41.90,
